año;leche_mg;leche_mp;
2002-12;5,69;3,79;
2003-01;6,02;4,04;
2003-02;5,60;3,73;
2003-03;5,25;3,60;
2003-04;5,00;3,51;
2003-05;4,82;3,55;
2003-06;4,84;3,58;
2003-07;4,74;3,58;
2003-08;5,07;3,75;
2003-09;5,58;4,09;
2003-10;6,01;4,23;
2003-11;6,37;4,43;
2003-12;6,03;4,01;
2004-01;5,97;3,97;
2004-02;5,62;3,94;
2004-03;5,32;3,86;
2004-04;5,10;3,72;
2004-05;4,97;3,65;
2004-06;4,92;3,60;
2004-07;4,76;3,57;
2004-08;4,83;3,73;
2004-09;5,22;3,93;
2004-10;5,68;4,16;
2004-11;6,29;4,35;
2004-12;6,25;4,15;
2005-01;5,94;4,00;
2005-02;5,63;3,88;
2005-03;5,17;3,74;
2005-04;4,85;3,60;
2005-05;4,72;3,52;
2005-06;4,61;3,48;
2005-07;4,74;3,50;
2005-08;4,93;3,64;
2005-09;5,35;3,82;
2005-10;5,68;4,01;
2005-11;6,00;4,14;
2005-12;6,02;4,05;
2006-01;5,95;3,91;
2006-02;5,58;3,79;
2006-03;5,17;3,65;
2006-04;4,82;3,58;
2006-05;4,62;3,45;
2006-06;4,63;3,52;
2006-07;4,64;3,52;
2006-08;4,90;3,70;
2006-09;5,08;3,76;
2006-10;5,52;3,97;
2006-11;5,81;4,07;
2006-12;5,86;4,02;
2007-01;5,60;3,90;
2007-02;5,46;3,84;
2007-03;5,22;3,72;
2007-04;4,90;3,60;
2007-05;4,78;3,51;
2007-06;4,73;3,50;
2007-07;4,75;3,49;
2007-08;4,88;3,60;
2007-09;5,28;3,80;
2007-10;5,83;4,01;
2007-11;6,12;4,11;
2007-12;6,02;3,99;
2008-01;5,75;3,85;
2008-02;5,50;3,75;
2008-03;5,11;3,64;
2008-04;4,93;3,59;
2008-05;4,81;3,48;
2008-06;4,88;3,40;
2008-07;4,87;3,33;
2008-08;4,86;3,43;
2008-09;5,31;3,56;
2008-10;5,86;3,86;
2008-11;6,17;4,11;
2008-12;5,97;3,90;
2009-01;5,84;3,79;
2009-02;5,59;3,79;
2009-03;5,16;3,56;
2009-04;4,90;3,50;
2009-05;4,68;3,41;
2009-06;4,58;3,35;
2009-07;4,56;3,33;
2009-08;4,66;3,42;
2009-09;5,25;3,72;
2009-10;5,84;4,00;
2009-11;6,12;4,03;
2009-12;6,19;3,95;
2010-01;5,89;3,91;
2010-02;5,64;3,90;
2010-03;5,27;3,66;
2010-04;4,89;3,56;
2010-05;4,81;3,53;
2010-06;4,76;3,47;
2010-07;4,59;3,43;
2010-08;4,84;3,55;
2010-09;5,37;3,79;
2010-10;6,08;4,17;
2010-11;6,41;4,31;
2010-12;6,15;4,10;
2011-01;5,79;3,90;
2011-02;5,54;3,83;
2011-03;5,34;3,72;
2011-04;4,86;3,59;
2011-05;4,71;3,53;
2011-06;4,69;3,50;
2011-07;4,65;3,49;
2011-08;4,80;3,62;
2011-09;5,19;3,74;
2011-10;5,86;4,07;
2011-11;5,94;4,11;
2011-12;5,71;3,94;
2012-01;5,84;3,91;
2012-02;5,60;3,84;
2012-03;5,19;3,67;
2012-04;4,90;3,57;
2012-05;4,68;3,50;
2012-06;4,50;3,47;
2012-07;4,52;3,47;
2012-08;4,66;3,54;
2012-09;5,14;3,70;
2012-10;5,60;4,01;
2012-11;5,89;4,08;
2012-12;5,61;3,88;
2013-01;5,51;3,89;
2013-02;5,33;3,80;
2013-03;5,29;3,73;
2013-04;4,87;3,55;
2013-05;4,75;3,47;
2013-06;4,68;3,46;
2013-07;4,55;3,40;
2013-08;4,74;3,45;
2013-09;5,02;3,69;
2013-10;5,65;4,02;
2013-11;5,96;4,05;
2013-12;5,99;3,86;
2014-01;5,78;3,83;
2014-02;5,51;3,72;
2014-03;5,22;3,60;
2014-04;4,85;3,47;
2014-05;4,77;3,47;
2014-06;4,71;3,39;
2014-07;4,69;3,43;
2014-08;4,81;3,58;
2014-09;5,03;3,74;
2014-10;5,55;4,02;
2014-11;5,83;4,12;
2014-12;5,75;3,89;
2015-01;5,75;3,93;
2015-02;5,52;3,71;
2015-03;5,14;3,57;
2015-04;4,83;3,54;
2015-05;4,69;3,42;
2015-06;4,62;3,44;
2015-07;4,48;3,40;
2015-08;4,58;3,58;
2015-09;5,12;3,78;
2015-10;5,53;4,01;
2015-11;5,73;4,02;
2015-12;5,69;3,84;
2016-01;5,65;3,84;
